Counter	AF3	F7	F3	FC5	T7	P7	O1	O2	P8	T8	FC6	F4	F8	AF4	GyroX	GyroY	Timestamp	FUNC_ID	FUNC_VALUE	MARKER	SYNC_SIGNAL	CMS_Q	DRL_Q	AF3_Q	F7_Q	F3_Q	FC5_Q	T7_Q	P7_Q	O1_Q	O2_Q	P8_Q	T8_Q	FC6_Q	F4_Q	F8_Q	AF4_Q	Blink	LeftWink	RightWink	EyesOpen	LeftEyeLid	RightEyelid
6.000000	4174.871795	4385.641026	4412.820513	3628.205128	4369.230769	4592.307692	4578.974359	4479.487179	3978.461538	4052.820513	4408.717949	4397.948718	4196.410256	3985.128205	1642.000000	1695.000000	61.766000	0.000000	0.000000	0.000000	0.000000	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	0	0	0	1	0.000	0.000
7.000000	4182.564103	4363.076923	4417.948718	3622.051282	4358.974359	4587.692308	4576.923077	4486.666667	3985.641026	4062.564103	4429.743590	4408.205128	4230.769231	4018.461538	1644.000000	1693.000000	61.774000	0.000000	0.000000	0.000000	0.000000	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	0	0	0	1	0.000	0.000
8.000000	4188.717949	4346.153846	4424.102564	3618.974359	4356.410256	4584.102564	4572.307692	4491.794872	3989.743590	4073.846154	4454.358974	4413.333333	4271.282051	4045.641026	1645.000000	1689.000000	61.782000	0.000000	0.000000	0.000000	0.000000	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	0	0	0	1	0.000	0.000
9.000000	4187.179487	4317.948718	4420.512821	3607.692308	4356.923077	4594.358974	4570.769231	4487.692308	3988.205128	4081.538462	4465.128205	4420.512821	4294.871795	4050.256410	1646.000000	1688.000000	61.790000	0.000000	0.000000	0.000000	0.000000	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	0	0	0	1	0.000	0.000
10.000000	4182.564103	4293.333333	4415.384615	3598.461538	4352.307692	4603.589744	4569.230769	4478.461538	3987.179487	4082.564103	4462.564103	4428.205128	4300.512821	4043.589744	1648.000000	1686.000000	61.796000	0.000000	0.000000	0.000000	0.000000	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	0	0	0	1	0.000	0.000
11.000000	4181.538462	4296.410256	4419.487179	3601.025641	4350.256410	4601.025641	4560.512821	4472.820513	3987.179487	4083.589744	4463.589744	4429.230769	4300.512821	4038.974359	1649.000000	1687.000000	61.805000	0.000000	0.000000	0.000000	0.000000	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	0	0	0	1	0.000	0.000
12.000000	4184.102564	4308.717949	4422.051282	3604.102564	4356.923077	4600.512821	4554.871795	4471.282051	3995.897436	4091.282051	4474.871795	4427.692308	4307.179487	4050.769231	1652.000000	1686.000000	61.812000	0.000000	0.000000	0.000000	0.000000	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	0	0	0	1	0.000	0.000
13.000000	4182.051282	4310.256410	4417.948718	3603.076923	4361.025641	4605.128205	4554.871795	4478.461538	4006.666667	4096.923077	4483.076923	4429.230769	4314.871795	4059.487179	1652.000000	1685.000000	61.820000	0.000000	0.000000	0.000000	0.000000	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	0	0	0	1	0.000	0.000
14.000000	4174.358974	4312.307692	4412.307692	3602.564103	4354.358974	4602.564103	4553.333333	4493.333333	4005.641026	4094.358974	4473.333333	4427.692308	4306.666667	4042.051282	1655.000000	1687.000000	61.828000	0.000000	0.000000	0.000000	0.000000	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	0	0	0	1	0.000	0.000
15.000000	4171.794872	4318.461538	4411.794872	3602.051282	4348.717949	4600.000000	4554.358974	4505.641026	4007.179487	4098.461538	4461.025641	4426.666667	4295.384615	4035.384615	1655.000000	1688.000000	61.835000	0.000000	0.000000	0.000000	0.000000	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	0	0	0	1	0.000	0.000
16.000000	4175.384615	4323.589744	4416.923077	3603.589744	4355.384615	4604.615385	4551.794872	4508.717949	4012.307692	4105.128205	4461.025641	4427.692308	4296.923077	4045.128205	1657.000000	1690.000000	61.844000	0.000000	0.000000	0.000000	0.000000	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	0	0	0	1	0.000	0.000
17.000000	4174.358974	4328.205128	4414.871795	3603.589744	4363.076923	4606.666667	4543.076923	4507.179487	4009.230769	4101.538462	4463.589744	4423.589744	4297.435897	4045.128205	1659.000000	1690.000000	61.851000	0.000000	0.000000	0.000000	0.000000	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	0	0	0	1	0.000	0.000
18.000000	4166.666667	4325.641026	4400.000000	3600.512821	4352.307692	4602.564103	4533.333333	4507.179487	4005.641026	4096.923077	4462.051282	4418.974359	4295.384615	4035.384615	1661.000000	1690.000000	61.861000	0.000000	0.000000	0.000000	0.000000	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	0	0	0	1	0.000	0.000
19.000000	4160.000000	4321.025641	4388.717949	3600.512821	4338.974359	4600.512821	4528.717949	4504.615385	4004.615385	4096.410256	4460.000000	4417.948718	4294.871795	4021.538462	1663.000000	1689.000000	61.869000	0.000000	0.000000	0.000000	0.000000	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	0	0	0	1	0.000	0.000
20.000000	4157.948718	4324.615385	4390.256410	3603.076923	4346.666667	4600.512821	4525.128205	4503.589744	4006.153846	4093.846154	4458.974359	4413.333333	4287.179487	4013.333333	1665.000000	1690.000000	61.877000	0.000000	0.000000	0.000000	0.000000	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	0	0	0	1	0.000	0.000
21.000000	4157.948718	4328.205128	4394.358974	3602.051282	4354.871795	4598.974359	4522.564103	4512.820513	4011.282051	4090.769231	4452.307692	4409.230769	4276.923077	4018.974359	1669.000000	1688.000000	61.885000	0.000000	0.000000	0.000000	0.000000	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	0	0	0	1	0.000	0.000
22.000000	4157.435897	4326.666667	4394.871795	3600.000000	4349.230769	4598.461538	4522.564103	4521.025641	4015.897436	4091.794872	4445.641026	4411.282051	4277.435897	4022.564103	1671.000000	1689.000000	61.891000	0.000000	0.000000	0.000000	0.000000	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	0	0	0	1	0.000	0.000
23.000000	4155.384615	4326.153846	4394.358974	3602.051282	4346.666667	4599.487179	4519.487179	4521.025641	4015.897436	4091.282051	4443.589744	4410.256410	4276.410256	4013.846154	1677.000000	1687.000000	61.899000	0.000000	0.000000	0.000000	0.000000	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	0	0	0	1	0.000	0.000
24.000000	4151.794872	4325.128205	4394.358974	3604.102564	4353.333333	4598.461538	4514.871795	4520.512821	4016.923077	4087.179487	4442.051282	4407.692308	4265.641026	4005.128205	1681.000000	1683.000000	61.907000	0.000000	0.000000	0.000000	0.000000	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	0	0	0	1	0.000	0.000
25.000000	4152.307692	4327.692308	4394.358974	3602.051282	4350.769231	4597.948718	4509.743590	4517.435897	4012.307692	4083.589744	4442.564103	4408.717949	4258.974359	4001.025641	1684.000000	1681.000000	61.914000	0.000000	0.000000	0.000000	0.000000	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	0	0	0	1	0.000	0.000
26.000000	4158.974359	4335.384615	4398.974359	3601.538462	4342.564103	4601.025641	4502.051282	4507.692308	4003.589744	4082.051282	4445.128205	4414.871795	4265.641026	4008.205128	1688.000000	1677.000000	61.921000	0.000000	0.000000	0.000000	0.000000	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	0	0	0	1	0.000	0.000
27.000000	4160.512821	4336.923077	4404.102564	3605.128205	4345.128205	4601.538462	4491.794872	4502.051282	4001.538462	4082.564103	4448.717949	4422.564103	4271.794872	4014.358974	1692.000000	1673.000000	61.929000	0.000000	0.000000	0.000000	0.000000	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	0	0	0	1	0.000	0.000
28.000000	4153.846154	4333.333333	4400.000000	3607.179487	4348.205128	4600.000000	4488.717949	4504.102564	4001.538462	4084.102564	4448.717949	4421.538462	4268.205128	4006.153846	1696.000000	1668.000000	61.937000	0.000000	0.000000	0.000000	0.000000	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	0	0	0	1	0.000	0.000
29.000000	4151.282051	4334.871795	4398.974359	3607.179487	4344.102564	4601.538462	4488.205128	4500.512821	4001.538462	4089.230769	4446.153846	4414.871795	4264.615385	4008.205128	1700.000000	1663.000000	61.945000	0.000000	0.000000	0.000000	0.000000	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	0	0	0	1	0.000	0.000
30.000000	4154.358974	4338.461538	4405.641026	3607.692308	4347.179487	4602.051282	4480.512821	4496.410256	4003.076923	4093.846154	4444.102564	4416.410256	4265.641026	4011.282051	1705.000000	1658.000000	61.953000	0.000000	0.000000	0.000000	0.000000	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	0	0	0	1	0.000	0.000
31.000000	4154.358974	4337.948718	4406.153846	3607.179487	4353.846154	4597.948718	4475.384615	4495.384615	4002.051282	4089.230769	4439.487179	4418.974359	4264.102564	3996.410256	1709.000000	1655.000000	61.961000	0.000000	0.000000	0.000000	0.000000	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	0	0	0	1	0.000	0.000
